Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
727,0.110,0.135,0.151,0.396
728,0.110,0.136,0.152,0.398
729,0.110,0.135,0.155,0.400
730,0.110,0.136,0.152,0.398
731,0.110,0.136,0.151,0.397
732,0.110,0.135,0.152,0.397
733,0.117,0.138,0.154,0.409
734,0.110,0.135,0.151,0.396
735,0.110,0.135,0.151,0.396
736,0.110,0.135,0.151,0.396
737,0.111,0.135,0.152,0.398
738,0.110,0.135,0.152,0.397
739,0.110,0.135,0.156,0.401
740,0.111,0.136,0.152,0.399
741,0.110,0.135,0.151,0.396
742,0.110,0.135,0.151,0.396
743,0.111,0.138,0.152,0.401
744,0.111,0.136,0.152,0.399
745,0.110,0.135,0.151,0.396
746,0.110,0.137,0.154,0.401
747,0.113,0.139,0.155,0.407
748,0.109,0.134,0.151,0.394
749,0.110,0.135,0.162,0.407
750,0.112,0.135,0.150,0.397
751,0.110,0.135,0.151,0.396
752,0.109,0.135,0.151,0.395
753,0.111,0.136,0.152,0.399
754,0.110,0.136,0.151,0.397
755,0.110,0.135,0.151,0.396
756,0.109,0.136,0.154,0.399
757,0.111,0.135,0.153,0.399
758,0.113,0.135,0.152,0.400
759,0.110,0.134,0.163,0.407
760,0.111,0.136,0.151,0.398
761,0.111,0.136,0.151,0.398
