Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
648,kyber1024,0.0993,0.1173,0.1316,0.3482
649,kyber1024,0.0990,0.1172,0.1326,0.3488
650,kyber1024,0.0977,0.1208,0.1315,0.3500
651,kyber1024,0.0981,0.1129,0.1312,0.3422
652,kyber1024,0.0985,0.1185,0.1331,0.3501
653,kyber1024,0.0986,0.1252,0.1323,0.3561
654,kyber1024,0.0995,0.1194,0.1338,0.3527
655,kyber1024,0.0986,0.1183,0.1322,0.3491
656,kyber1024,0.1083,0.1162,0.1312,0.3557
657,kyber1024,0.0995,0.1175,0.1326,0.3496
658,kyber1024,0.1085,0.1201,0.1465,0.3751
659,kyber1024,0.0972,0.1167,0.1307,0.3446
660,kyber1024,0.0992,0.1171,0.1315,0.3478
661,kyber1024,0.0988,0.1178,0.1388,0.3554
662,kyber1024,0.0977,0.1175,0.1315,0.3467
663,kyber1024,0.0965,0.1164,0.2349,0.4478
664,kyber1024,0.1112,0.1166,0.1317,0.3595
665,kyber1024,0.0992,0.1171,0.1326,0.3489
666,kyber1024,0.1086,0.1191,0.1334,0.3611
667,kyber1024,0.1081,0.1189,0.1333,0.3603
668,kyber1024,0.0995,0.1185,0.1331,0.3511
669,kyber1024,0.0967,0.1164,0.1389,0.3520
670,kyber1024,0.0988,0.1172,0.1313,0.3473
671,kyber1024,0.0999,0.1183,0.1326,0.3508
672,kyber1024,0.1087,0.1310,0.1335,0.3732
673,kyber1024,0.0973,0.1173,0.1317,0.3463
674,kyber1024,0.0977,0.1166,0.1314,0.3457
675,kyber1024,0.0972,0.1214,0.1306,0.3492
676,kyber1024,0.0974,0.1163,0.1307,0.3444
677,kyber1024,0.0977,0.1166,0.1309,0.3452
678,kyber1024,0.1099,0.1172,0.1324,0.3595
679,kyber1024,0.0997,0.1187,0.1326,0.3510
680,kyber1024,0.0972,0.1160,0.1311,0.3443
681,kyber1024,0.1060,0.1174,0.1311,0.3545
682,kyber1024,0.0987,0.1186,0.1326,0.3499
683,kyber1024,0.1996,0.1266,0.1333,0.4595
684,kyber1024,0.1002,0.1185,0.1280,0.3467
685,kyber1024,0.1017,0.1153,0.1311,0.3481
686,kyber1024,0.1112,0.1143,0.1329,0.3584
687,kyber1024,0.1086,0.1213,0.1324,0.3623
688,kyber1024,0.1086,0.1204,0.1483,0.3773
689,kyber1024,0.0992,0.1177,0.1329,0.3498
690,kyber1024,0.0997,0.1182,0.1326,0.3505
691,kyber1024,0.0992,0.1171,0.1360,0.3523
692,kyber1024,0.1081,0.1206,0.1342,0.3629
693,kyber1024,0.0986,0.1184,0.1334,0.3504
694,kyber1024,0.0997,0.1259,0.1326,0.3582
695,kyber1024,0.1081,0.1181,0.1296,0.3558
696,kyber1024,0.1009,0.1190,0.1342,0.3541
697,kyber1024,0.1076,0.1171,0.1322,0.3569
698,kyber1024,0.0982,0.1160,0.1312,0.3454
699,kyber1024,0.1083,0.1178,0.1346,0.3607
700,kyber1024,0.1072,0.1166,0.1322,0.3560
701,kyber1024,0.0997,0.1184,0.1340,0.3521
702,kyber1024,0.1002,0.2952,0.1329,0.5283
703,kyber1024,0.1083,0.1220,0.1362,0.3665
704,kyber1024,0.1019,0.1166,0.1314,0.3499
705,kyber1024,0.1071,0.1171,0.1305,0.3547
706,kyber1024,0.0970,0.1164,0.1315,0.3449
707,kyber1024,0.0996,0.1185,0.1405,0.3586
708,kyber1024,0.0975,0.1165,0.1310,0.3450
709,kyber1024,0.0970,0.1162,0.1315,0.3447
710,kyber1024,0.0988,0.1177,0.1360,0.3525
711,kyber1024,0.0970,0.1174,0.1315,0.3459
712,kyber1024,0.0975,0.1167,0.1315,0.3457
713,kyber1024,0.0987,0.1259,0.1325,0.3571
714,kyber1024,0.0970,0.1168,0.1308,0.3446
715,kyber1024,0.0980,0.1173,0.1318,0.3471
716,kyber1024,0.0981,0.1251,0.1319,0.3551
717,kyber1024,0.1079,0.1186,0.1335,0.3600
718,kyber1024,0.0973,0.1166,0.1309,0.3448
719,kyber1024,0.1096,0.1179,0.1316,0.3591
720,kyber1024,0.0983,0.1178,0.1317,0.3478
721,kyber1024,0.0977,0.1174,0.2463,0.4614
722,kyber1024,0.1087,0.1197,0.1335,0.3619
723,kyber1024,0.0991,0.1189,0.1324,0.3504
724,kyber1024,0.0986,0.1282,0.1319,0.3587
725,kyber1024,0.0975,0.1171,0.1317,0.3463
726,kyber1024,0.0983,0.1173,0.1316,0.3472
727,kyber1024,0.1086,0.1197,0.1332,0.3615
728,kyber1024,0.0971,0.1160,0.1302,0.3433
729,kyber1024,0.0977,0.1169,0.1331,0.3477
730,kyber1024,0.1118,0.1192,0.1340,0.3650
731,kyber1024,0.0963,0.1157,0.1308,0.3428
732,kyber1024,0.0968,0.1164,0.1382,0.3514
