Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
0.5421,0.3083,0.3028,1.2917,1.2701
1.0470,0.2963,0.3079,1.5506,1.7658
0.5525,0.2787,0.3106,1.1511,1.3237
0.9415,0.3124,0.3078,1.2725,1.6969
0.8148,0.2828,0.3040,2.0372,1.5383
0.8516,0.3703,0.4282,1.6858,1.7838
0.9746,0.2965,0.3046,1.5258,1.7496
0.6670,0.4038,0.4523,1.8777,1.6095
1.4289,0.3942,0.4445,1.6965,2.3658
0.8176,0.4169,0.4947,1.9380,1.8204
1.0290,0.4431,0.4471,1.7755,1.9982
1.2346,0.4362,0.4499,2.1342,2.2186
0.6768,0.4311,0.4473,1.5799,1.6377
4.3333,0.4194,0.4458,2.2866,5.2886
0.7182,0.2848,0.3136,1.6085,1.5551
0.6965,0.2774,0.3055,1.6710,1.3683
0.5527,0.2722,0.3034,1.1293,1.1889
0.9149,0.2951,0.3113,1.3859,1.5262
0.8009,0.2755,0.3055,1.3253,1.3963
2.0044,0.2757,0.3138,1.1554,2.6444
0.4504,0.2776,0.3057,2.4448,1.0746
0.4489,0.2785,0.3051,1.9278,1.0699
0.6412,0.3794,0.3801,1.2540,1.3915
0.6165,0.2734,0.3137,2.7370,1.4290
1.6377,0.4318,0.4776,2.0665,2.5712
1.5269,0.3175,0.3257,3.9066,2.3005
1.3881,0.4156,0.4783,2.7773,2.2877
0.6044,0.4246,0.4566,2.4838,1.5308
0.8472,0.4263,0.4415,1.6853,1.7683
1.5133,0.4390,0.4608,1.4931,2.4205
0.6375,0.4242,0.4516,1.9392,1.5871
0.6368,0.4442,0.4525,1.5263,1.5678
0.6743,0.4239,0.4783,2.4028,1.6333
0.6193,0.3641,0.3259,2.1766,1.4002
2.3833,0.4120,0.4620,1.4708,3.3152
0.5403,0.2899,0.3256,2.2549,1.3108
1.0150,0.4119,0.4329,1.4811,1.9357
0.9529,0.3875,0.4387,1.9747,1.8795
0.6632,0.4158,0.4509,3.6394,1.5894
0.4388,0.3120,0.3099,1.4838,1.2193
1.0117,0.2970,0.3136,2.5225,1.7034
0.7337,0.2776,0.3069,1.3149,1.4145
0.8221,0.2972,0.3094,1.1838,1.4841
1.1335,0.2983,0.3085,1.4500,1.7891
0.4539,0.2814,0.3264,1.9307,1.1358
0.5616,0.2873,0.3097,1.0610,1.2160
1.7667,0.2884,0.3100,1.0747,2.4257
0.8292,0.2803,0.3028,1.0528,1.4948
0.7975,0.2823,0.3125,1.0351,1.4547
1.0321,0.2780,0.3233,1.2799,1.6944
0.5578,0.2951,0.3229,1.2127,1.2652
0.6978,0.2890,0.3061,1.9101,1.4004
0.4390,0.2866,0.3270,1.8280,1.1568
0.9561,0.2794,0.3081,1.4455,1.6647
1.2514,0.2838,0.3363,1.3574,1.9898
2.3139,0.2977,0.3040,1.5168,3.0119
0.5622,0.2924,0.3083,1.1370,1.2917
0.4405,0.2815,0.3236,2.7888,1.1953
0.6694,0.3062,0.3032,1.1364,1.3702
0.9664,0.2873,0.3218,1.3767,1.7114
0.5544,0.3021,0.3081,1.2384,1.2673
0.6484,0.2938,0.3059,1.8103,1.3623
0.5804,0.2925,0.3048,1.1453,1.3200
0.7876,0.3059,0.3000,1.5643,1.5447
0.5335,0.2851,0.3142,1.9909,1.2654
0.5323,0.2902,0.3037,1.1213,1.2287
0.7094,0.2875,0.3254,1.3624,1.4364
2.2450,0.4338,0.4581,3.6583,3.0928
0.6973,0.3199,0.3061,1.1818,1.4540
1.5917,0.4225,0.4584,1.4972,2.4515
0.6164,0.3972,0.4209,1.8592,1.5452
0.5573,0.2768,0.3232,1.4959,1.3279
1.1566,0.2928,0.3176,2.1262,1.8969
0.5252,0.2951,0.3185,1.1254,1.2426
0.6726,0.2736,0.3065,1.4795,1.4062
0.8810,0.2732,0.3048,1.5379,1.5624
0.4406,0.2753,1.9815,1.1434,2.7574
0.5337,0.3018,0.3106,1.2493,1.2251
1.1784,0.4218,0.4460,1.5165,2.1306
0.5850,0.3237,0.3157,1.4876,1.3701
0.4547,0.2866,0.3108,1.6596,1.1891
0.6787,0.2817,0.3569,1.1575,1.4645
