Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
272,falcon-512,pequeño,7.3410,0.8594,0.0565,8.2568
273,falcon-512,pequeño,11.6537,0.8598,0.0561,12.5696
274,falcon-512,pequeño,8.9557,0.8943,0.0556,9.9056
275,falcon-512,pequeño,9.8860,0.8563,0.0556,10.7979
276,falcon-512,pequeño,8.1334,0.9223,0.0629,9.1186
277,falcon-512,pequeño,8.7407,0.8805,0.0584,9.6796
278,falcon-512,pequeño,8.0758,0.9123,0.0593,9.0474
279,falcon-512,pequeño,20.7207,0.8859,0.0576,21.6642
280,falcon-512,pequeño,14.3933,0.8630,0.0560,15.3123
281,falcon-512,pequeño,7.2560,1.8106,0.0606,9.1272
282,falcon-512,pequeño,10.4757,0.8700,0.0568,11.4024
283,falcon-512,pequeño,6.9865,0.8475,0.0561,7.8901
284,falcon-512,pequeño,8.2479,0.8724,0.0568,9.1771
285,falcon-512,pequeño,21.3224,0.8787,0.0654,22.2665
286,falcon-512,pequeño,7.3539,0.8620,0.0560,8.2719
287,falcon-512,pequeño,7.9729,0.8558,0.0558,8.8845
288,falcon-512,pequeño,6.7145,0.8899,0.0603,7.6648
289,falcon-512,pequeño,8.5325,0.8988,0.0603,9.4917
290,falcon-512,pequeño,7.6839,0.8706,0.0616,8.6161
291,falcon-512,pequeño,6.9781,0.8741,0.0565,7.9087
292,falcon-512,pequeño,11.8690,0.8532,0.0559,12.7781
293,falcon-512,pequeño,9.6759,0.8766,0.0559,10.6084
294,falcon-512,pequeño,6.7077,0.8498,0.0553,7.6129
295,falcon-512,pequeño,9.8236,0.9038,0.0575,10.7849
296,falcon-512,pequeño,9.8294,0.8792,0.0581,10.7668
297,falcon-512,pequeño,9.9565,0.8788,0.0559,10.8913
298,falcon-512,pequeño,12.2029,0.8453,0.0561,13.1043
299,falcon-512,pequeño,8.7836,0.8639,0.0552,9.7028
300,falcon-512,pequeño,8.3782,0.8384,0.0552,9.2717
301,falcon-512,pequeño,12.9057,0.8477,0.0564,13.8099
302,falcon-512,pequeño,7.6137,0.8534,0.0553,8.5224
303,falcon-512,pequeño,8.9814,0.8557,0.0560,9.8930
304,falcon-512,pequeño,10.3822,0.8582,0.0601,11.3005
305,falcon-512,pequeño,21.3464,0.8803,0.0587,22.2855
306,falcon-512,pequeño,10.5870,1.9267,0.0604,12.5741
307,falcon-512,pequeño,7.6688,0.8524,0.0552,8.5764
308,falcon-512,pequeño,6.6862,0.8608,0.0555,7.6024
309,falcon-512,pequeño,8.9654,0.8434,0.0558,9.8645
310,falcon-512,pequeño,7.2395,0.8560,0.0556,8.1512
311,falcon-512,pequeño,9.4294,0.8565,0.0549,10.3408
312,falcon-512,pequeño,19.2491,0.8594,0.0553,20.1638
313,falcon-512,pequeño,19.7326,0.9067,0.0588,20.6980
