Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
886,falcon-1024,grande,22.7852,1.8738,0.1645,24.8235
887,falcon-1024,grande,40.3431,1.8650,0.1624,42.3705
888,falcon-1024,grande,48.3941,1.8925,0.1662,50.4528
889,falcon-1024,grande,22.4288,1.9036,0.1644,24.4968
890,falcon-1024,grande,19.8073,1.8660,0.1640,21.8373
891,falcon-1024,grande,20.9958,1.8650,0.1646,23.0254
892,falcon-1024,grande,28.9512,1.8812,0.1638,30.9962
893,falcon-1024,grande,19.9526,2.8702,0.1700,22.9928
894,falcon-1024,grande,23.9470,1.8597,0.1654,25.9722
895,falcon-1024,grande,39.9539,1.8698,0.1645,41.9882
896,falcon-1024,grande,22.1849,1.8704,0.1638,24.2191
897,falcon-1024,grande,20.4135,1.8543,0.1628,22.4306
898,falcon-1024,grande,36.7169,3.0170,0.2701,40.0040
899,falcon-1024,grande,22.2259,1.8791,0.1644,24.2695
900,falcon-1024,grande,19.3734,1.8486,0.1647,21.3867
901,falcon-1024,grande,21.7519,1.8436,0.1678,23.7634
902,falcon-1024,grande,22.3746,1.9132,0.1632,24.4510
903,falcon-1024,grande,22.1498,1.8874,0.1653,24.2025
904,falcon-1024,grande,23.2232,1.9272,0.1690,25.3194
905,falcon-1024,grande,26.1093,1.9123,0.1668,28.1883
906,falcon-1024,grande,45.9361,1.9579,0.1742,48.0683
907,falcon-1024,grande,19.9318,1.8916,0.1714,21.9949
908,falcon-1024,grande,38.0472,3.0781,0.1708,41.2961
909,falcon-1024,grande,21.6746,1.8661,0.1682,23.7089
910,falcon-1024,grande,30.4639,1.9524,0.1694,32.5857
911,falcon-1024,grande,21.8674,1.9278,0.1660,23.9612
912,falcon-1024,grande,20.3940,1.8836,0.1735,22.4511
913,falcon-1024,grande,33.9676,1.8914,0.1715,36.0305
914,falcon-1024,grande,25.3147,2.6702,0.1728,28.1578
915,falcon-1024,grande,28.4446,1.8500,0.1639,30.4585
916,falcon-1024,grande,28.1750,1.8677,0.1640,30.2066
917,falcon-1024,grande,29.2449,1.9018,0.1666,31.3133
918,falcon-1024,grande,25.5594,1.8604,0.1650,27.5849
919,falcon-1024,grande,22.1659,1.8634,0.1710,24.2003
920,falcon-1024,grande,19.6600,1.8936,0.1638,21.7173
921,falcon-1024,grande,19.6437,1.8839,0.1685,21.6962
922,falcon-1024,grande,21.6632,1.8655,0.1657,23.6945
923,falcon-1024,grande,22.0364,1.8604,0.1680,24.0648
924,falcon-1024,grande,21.2880,1.8987,0.1684,23.3551
925,falcon-1024,grande,24.8486,1.8962,0.1678,26.9125
926,falcon-1024,grande,20.7407,1.8694,0.1676,22.7777
927,falcon-1024,grande,22.9175,1.8834,0.1635,24.9643
928,falcon-1024,grande,35.3308,1.8739,0.1634,37.3680
929,falcon-1024,grande,21.8544,1.8976,0.1699,23.9219
930,falcon-1024,grande,20.7064,1.8614,0.1649,22.7326
931,falcon-1024,grande,19.3430,1.8760,0.1660,21.3851
932,falcon-1024,grande,25.1110,1.8872,0.1651,27.1633
933,falcon-1024,grande,22.4107,1.8888,0.1662,24.4657
934,falcon-1024,grande,27.0779,1.8694,0.1669,29.1142
935,falcon-1024,grande,24.7283,1.8703,0.1650,26.7637
936,falcon-1024,grande,33.7344,1.8676,0.1681,35.7701
937,falcon-1024,grande,21.2413,1.8825,0.1662,23.2900
938,falcon-1024,grande,27.5733,1.8655,0.1716,29.6103
