Iteración,Tiempo Generación Claves (ms),Tiempo Creación Firma (ms),Tiempo Verificación Firma (ms),Tiempo Total (ms)
406,119.537,1.047,0.047,120.630
407,91.217,1.075,0.054,92.346
408,57.939,1.091,0.053,59.083
409,119.872,1.096,0.053,121.021
410,84.975,1.075,0.053,86.103
411,221.237,1.111,0.052,222.400
412,124.266,1.102,0.056,125.424
413,160.711,1.095,0.052,161.858
414,115.310,1.096,0.053,116.459
415,178.183,1.081,0.050,179.314
416,120.320,1.082,0.050,121.452
417,164.773,1.077,0.050,165.900
418,159.124,1.084,0.050,160.259
419,117.100,1.084,0.050,118.235
420,88.821,1.116,0.052,89.988
421,149.067,1.088,0.050,150.204
422,170.347,1.056,0.047,171.450
423,164.978,1.091,0.051,166.121
424,59.082,1.057,0.046,60.186
425,227.052,1.079,0.050,228.182
426,91.802,1.064,0.052,92.917
427,65.511,1.050,0.047,66.608
428,157.441,1.105,0.057,158.603
429,273.062,1.089,0.052,274.203
430,233.963,1.083,0.051,235.096
431,69.277,1.065,0.050,70.391
432,188.836,1.051,0.047,189.934
433,87.134,1.105,0.048,88.287
434,106.659,1.107,0.051,107.817
435,133.554,1.052,0.047,134.654
436,87.665,1.057,0.046,88.768
437,343.755,1.092,0.051,344.898
438,187.812,1.059,0.048,188.919
439,49.586,1.056,0.047,50.688
440,78.654,1.062,0.047,79.763
441,117.779,1.096,0.051,118.927
442,109.732,1.064,0.054,110.849
443,94.814,1.092,0.057,95.963
444,66.101,1.095,0.064,67.261
445,57.951,1.097,0.058,59.106
446,65.743,1.080,0.052,66.875
447,88.726,1.050,0.051,89.827
448,109.727,1.056,0.186,110.970
449,188.357,1.083,0.065,189.505
450,82.605,1.126,0.078,83.809
451,163.709,1.070,0.047,164.825
452,80.431,1.056,0.045,81.532
