Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
590,Falcon1024,pequeño,47.3815,2.3983,0.1093,49.8891
591,Falcon1024,pequeño,22.1514,2.4753,0.1085,24.7352
592,Falcon1024,pequeño,32.0930,2.5089,0.1156,34.7175
593,Falcon1024,pequeño,22.7562,2.4677,0.1088,25.3327
594,Falcon1024,pequeño,27.3010,2.4001,0.1087,29.8098
595,Falcon1024,pequeño,22.2054,2.5230,0.1095,24.8379
596,Falcon1024,pequeño,24.3637,2.4740,0.1100,26.9477
597,Falcon1024,pequeño,24.7184,2.4384,0.1093,27.2661
598,Falcon1024,pequeño,21.6914,2.4829,0.1092,24.2835
599,Falcon1024,pequeño,22.8839,2.4835,0.1081,25.4755
