Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
51,Dilithium5,0.2850,1.2895,0.3111,1.8856
52,Dilithium5,0.2823,1.4897,0.3088,2.0808
53,Dilithium5,0.2822,0.4322,0.3104,1.0248
54,Dilithium5,0.2808,0.5755,0.2933,1.1496
55,Dilithium5,0.2857,1.0602,0.3117,1.6576
56,Dilithium5,0.4222,1.5328,0.3025,2.2575
57,Dilithium5,0.2799,0.5878,0.3014,1.1691
58,Dilithium5,0.3989,0.6159,0.3035,1.3183
59,Dilithium5,0.2946,0.4243,0.3025,1.0214
60,Dilithium5,0.2947,1.0922,0.2958,1.6827
61,Dilithium5,0.2845,0.4378,0.2956,1.0179
62,Dilithium5,0.2787,0.7198,0.2996,1.2981
63,Dilithium5,0.3004,1.2465,0.4433,1.9902
64,Dilithium5,0.3046,0.6012,0.3114,1.2172
65,Dilithium5,0.2881,0.4357,0.3117,1.0355
66,Dilithium5,0.2825,1.1674,0.2998,1.7497
67,Dilithium5,0.2986,0.4249,0.2955,1.0190
68,Dilithium5,0.2847,0.8983,0.2937,1.4767
69,Dilithium5,0.2847,1.8417,0.3011,2.4275
70,Dilithium5,0.2946,1.2396,0.3042,1.8384
71,Dilithium5,0.2876,2.0775,0.3093,2.6744
72,Dilithium5,0.2972,0.6241,0.3039,1.2252
73,Dilithium5,0.2919,0.7688,0.4481,1.5088
74,Dilithium5,0.2810,0.4354,0.3162,1.0326
75,Dilithium5,0.2789,0.6482,0.2952,1.2223
76,Dilithium5,0.2892,0.6181,0.2944,1.2017
77,Dilithium5,0.2829,1.5506,0.2945,2.1280
78,Dilithium5,0.2815,1.0422,0.3171,1.6408
79,Dilithium5,0.2932,0.7564,0.3013,1.3509
80,Dilithium5,0.2883,1.1280,0.2993,1.7156
81,Dilithium5,0.2832,0.7451,0.2964,1.3247
82,Dilithium5,0.2989,0.5647,0.2956,1.1592
83,Dilithium5,0.2873,0.9390,0.2953,1.5216
84,Dilithium5,0.2822,1.0965,0.4449,1.8236
85,Dilithium5,0.3032,0.5906,0.3030,1.1968
86,Dilithium5,0.2861,0.7572,0.3074,1.3507
87,Dilithium5,0.4245,0.4291,0.3034,1.1570
88,Dilithium5,0.2871,0.5890,0.3036,1.1797
89,Dilithium5,0.2828,0.5790,0.3979,1.2597
90,Dilithium5,0.2806,1.7494,0.2961,2.3261
91,Dilithium5,0.2914,0.8550,0.3046,1.4510
92,Dilithium5,0.2845,0.9360,0.2968,1.5173
93,Dilithium5,0.3068,0.4299,0.3076,1.0443
94,Dilithium5,0.3007,1.2134,0.4865,2.0006
95,Dilithium5,0.2999,0.8624,0.3078,1.4701
96,Dilithium5,0.2836,0.4413,0.3013,1.0262
97,Dilithium5,0.3920,0.4469,0.3012,1.1401
98,Dilithium5,0.2781,0.5769,0.3053,1.1603
99,Dilithium5,0.2847,0.5788,0.4045,1.2680
100,Dilithium5,0.2881,0.8782,0.2943,1.4606
101,Dilithium5,0.2829,0.6083,0.2932,1.1844
102,Dilithium5,0.3854,1.1598,0.2980,1.8432
103,Dilithium5,0.2807,0.5820,0.2958,1.1585
104,Dilithium5,0.2845,0.7351,0.2972,1.3168
105,Dilithium5,0.2985,0.7794,0.3043,1.3822
106,Dilithium5,0.2809,0.5818,0.2976,1.1603
107,Dilithium5,0.2772,0.4543,0.3061,1.0376
108,Dilithium5,0.2861,1.0448,0.4022,1.7331
109,Dilithium5,0.2880,0.7570,0.3016,1.3466
110,Dilithium5,0.2885,1.4959,0.3107,2.0951
111,Dilithium5,0.2929,0.6093,0.3040,1.2062
112,Dilithium5,0.2970,0.7425,0.3243,1.3638
113,Dilithium5,0.2852,0.4366,0.5121,1.2339
114,Dilithium5,0.2943,0.7872,0.3040,1.3855
115,Dilithium5,0.3133,0.4346,0.3016,1.0495
116,Dilithium5,0.2907,0.9106,0.2939,1.4952
117,Dilithium5,0.2772,0.5801,0.2929,1.1502
